2024-02-01 12:20:16 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb6ad0951e5c5341216ed8'}
2024-02-01 12:26:03 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb6ad0951e5c5341216ed8'}
2024-02-01 13:59:20 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb6ad0951e5c5341216ed8'}
2024-02-01 14:00:36 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb70698d15e864ff73591f'}
2024-02-01 14:00:48 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb6ad0951e5c5341216ed8'}
2024-02-01 14:02:01 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:03:31 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:08:17 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:10:58 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:11:19 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:11:36 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:16:57 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:17:08 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:17:31 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65bb99e420b2efbdc0e42d8d'}
2024-02-01 14:17:36 - SCAN BADGE : données reçus : {'qrType': 'Badge', 'qrId': '65bb99e620b2efbdc0e42d8e'}
2024-02-01 14:18:41 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:18:56 - SCAN BADGE : données reçus : {'qrType': 'Badge', 'qrId': '65bb99e620b2efbdc0e42d8e'}
2024-02-01 14:19:01 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65bb99e420b2efbdc0e42d8d'}
2024-02-01 14:19:03 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:45:40 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 14:46:04 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:04:44 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:04:51 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65bb99e420b2efbdc0e42d8d'}
2024-02-01 15:04:59 - SCAN BADGE : données reçus : {'qrType': 'Badge', 'qrId': '65bb99e620b2efbdc0e42d8e'}
2024-02-01 15:05:17 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:10:39 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:10:53 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65bb99e420b2efbdc0e42d8d'}
2024-02-01 15:11:09 - SCAN BADGE : données reçus : {'qrType': 'Badge', 'qrId': '65bb99e620b2efbdc0e42d8e'}
2024-02-01 15:11:25 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:11:45 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-01 15:12:58 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65bb964420b2efbdc0e42d8c'}
2024-02-05 16:24:03 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c0fd8724df3cc92127cca4'}
2024-02-05 16:24:19 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c0fd8724df3cc92127cca4'}
2024-02-05 16:26:11 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c0fd8724df3cc92127cca4'}
2024-02-05 16:26:25 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-05 16:26:50 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c0fd8724df3cc92127cca4'}
2024-02-05 16:26:58 - SCAN BADGE : données reçus : {'qrType': 'Badge', 'qrId': '65bb9c8e20b2efbdc0e42d8f'}
2024-02-05 18:46:07 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c11e19bf318cf46cd3a44b'}
2024-02-05 18:53:43 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c11e19bf318cf46cd3a44b'}
2024-02-05 18:54:33 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-05 18:54:44 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c11e19bf318cf46cd3a44b'}
2024-02-05 18:55:17 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c11e19bf318cf46cd3a44b'}
2024-02-05 18:55:27 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-06 14:56:53 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 14:59:57 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:15:00 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:15:08 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 15:15:14 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-06 15:22:46 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:22:55 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:23:56 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 15:24:05 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:25:11 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:25:43 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:26:01 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:27:17 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:28:36 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 15:39:53 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-06 16:02:00 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:02:11 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:02:21 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:02:31 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:02:36 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-06 16:05:11 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:05:54 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:06:00 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:18:15 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:18:34 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:23:08 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:23:32 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:23:37 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:23:43 - SCAN TICKET : données reçus : {'qrType': '1J', 'qrId': '65c0fe0abdc6902987874a61'}
2024-02-06 16:27:29 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:27:34 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
2024-02-06 16:27:41 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23a8f929b4d9094000934'}
2024-02-06 16:27:47 - SCAN TICKET : données reçus : {'qrType': '2H', 'qrId': '65c23b4d9a7d44721a3b5708'}
